id,timestamp,speed,vibration,pos-x,pos-y,state
mower-2,2024-03-11T09:09:45.134492,1,15,1,1,normal
mower-2,2024-03-11T09:10:23.134492,3,1,1,4,normal
mower-2,2024-03-11T09:09:38.134492,2,1,1,6,normal
mower-2,2024-03-11T09:09:38.134492,2,14,1,8,normal
mower-2,2024-03-11T09:09:29.134492,3,12,1,10,normal
mower-2,2024-03-11T09:10:15.134492,1,4,2,9,normal
mower-2,2024-03-11T09:09:36.134492,2,15,2,7,normal
mower-2,2024-03-11T09:10:18.134492,2,6,2,5,normal
mower-2,2024-03-11T09:09:39.134492,2,18,2,3,normal
mower-2,2024-03-11T09:09:44.134492,2,4,2,1,normal
mower-2,2024-03-11T09:09:29.134492,2,4,2,0,normal
mower-2,2024-03-11T09:09:32.134492,1,3,3,1,normal
mower-2,2024-03-11T09:10:34.134492,3,17,3,4,normal
mower-2,2024-03-11T09:10:20.134492,2,6,3,6,normal
mower-2,2024-03-11T09:10:54.134492,1,88,3,7,crash
mower-2,2024-03-11T09:09:59.134492,2,1,3,9,normal
mower-2,2024-03-11T09:10:17.134492,3,18,3,10,normal
mower-2,2024-03-11T09:10:11.134492,1,113,4,9,crash
mower-2,2024-03-11T09:10:40.134492,3,5,4,6,normal
mower-2,2024-03-11T09:10:41.134492,3,15,4,3,normal
mower-2,2024-03-11T09:10:15.134492,3,7,4,0,normal
mower-2,2024-03-11T09:10:02.134492,1,15,5,1,normal
mower-2,2024-03-11T09:09:55.134492,2,17,5,3,normal
mower-2,2024-03-11T09:09:32.134492,2,11,5,5,normal
mower-2,2024-03-11T09:10:56.134492,3,15,5,8,normal
mower-2,2024-03-11T09:10:19.134492,2,19,5,10,normal
mower-2,2024-03-11T09:11:01.134492,1,20,6,9,normal
mower-2,2024-03-11T09:10:16.134492,2,10,6,7,normal
mower-2,2024-03-11T09:09:24.134492,2,3,6,5,normal
mower-2,2024-03-11T09:10:35.134492,2,8,6,3,normal
mower-2,2024-03-11T09:10:29.134492,3,16,6,0,normal
mower-2,2024-03-11T09:10:30.134492,1,37,7,1,bumpy-terrain
mower-2,2024-03-11T09:10:25.134492,1,35,7,2,bumpy-terrain
mower-2,2024-03-11T09:10:12.134492,2,35,7,4,bumpy-terrain
mower-2,2024-03-11T09:09:43.134492,3,18,7,7,normal
mower-2,2024-03-11T09:10:33.134492,1,91,7,8,crash
mower-2,2024-03-11T09:09:38.134492,2,14,7,10,normal
